"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
1,"suicide","tmean","northern_rockies_and_plains",10,0.167722992515891,-0.201940744953672,0.537386729985454
1,"All_violence","tmean","northwest",0,0,0,0
1,"All_violence","tmean","northwest",1,-0.00551300869112295,-0.0134915661590276,0.00246554877678173
1,"All_violence","tmean","northwest",5,-0.0275650434556147,-0.067457830795138,0.0123277438839086
1,"All_violence","tmean","northwest",10,-0.0551300869112295,-0.134915661590276,0.0246554877678173
1,"assault","tmean","northwest",0,0,0,0
1,"assault","tmean","northwest",1,-0.00453650622940071,-0.0123543274342811,0.00328131497547966
1,"assault","tmean","northwest",5,-0.0226825311470035,-0.0617716371714052,0.0164065748773982
1,"assault","tmean","northwest",10,-0.045365062294007,-0.123543274342811,0.0328131497547966
1,"suicide","tmean","northwest",0,0,0,0
1,"suicide","tmean","northwest",1,-0.0454774430879326,-0.0998377810122894,0.00888289483642424
1,"suicide","tmean","northwest",5,-0.227387215439663,-0.499188905061447,0.0444144741821212
1,"suicide","tmean","northwest",10,-0.454774430879325,-0.998377810122893,0.0888289483642424
1,"All_violence","tmean","ohio_valley",0,0,0,0
1,"All_violence","tmean","ohio_valley",1,0.00458783809214583,0.00268272790194372,0.00649294828234793
1,"All_violence","tmean","ohio_valley",5,0.0229391904607291,0.0134136395097186,0.0324647414117396
1,"All_violence","tmean","ohio_valley",10,0.0458783809214583,0.0268272790194372,0.0649294828234793
1,"assault","tmean","ohio_valley",0,0,0,0
1,"assault","tmean","ohio_valley",1,0.00436075436771189,0.00245754801092426,0.00626396072449953
1,"assault","tmean","ohio_valley",5,0.0218037718385594,0.0122877400546213,0.0313198036224976
1,"assault","tmean","ohio_valley",10,0.0436075436771189,0.0245754801092426,0.0626396072449953
1,"suicide","tmean","ohio_valley",0,0,0,0
1,"suicide","tmean","ohio_valley",1,0.0113293797567655,0.00174059026889758,0.0209181692446334
1,"suicide","tmean","ohio_valley",5,0.0566468987838275,0.00870295134448788,0.104590846223167
