"lag","cause","exposure","analysis","exposure_change","central.est","ll.est","ul.est"
6,"assault","tmean","northern_rockies_and_plains",0,0,0,0
6,"assault","tmean","northern_rockies_and_plains",1,0.00426115346488367,-0.001320312087201,0.00984261901696834
6,"assault","tmean","northern_rockies_and_plains",5,0.0213057673244183,-0.006601560436005,0.0492130950848417
6,"assault","tmean","northern_rockies_and_plains",10,0.0426115346488367,-0.01320312087201,0.0984261901696835
6,"suicide","tmean","northern_rockies_and_plains",0,0,0,0
6,"suicide","tmean","northern_rockies_and_plains",1,-0.0186984393412681,-0.0564207885783475,0.0190239098958113
6,"suicide","tmean","northern_rockies_and_plains",5,-0.0934921967063407,-0.282103942891738,0.0951195494790564
6,"suicide","tmean","northern_rockies_and_plains",10,-0.186984393412681,-0.564207885783475,0.190239098958113
6,"All_violence","tmean","northwest",0,0,0,0
6,"All_violence","tmean","northwest",1,0.00293976077729574,-0.00499628947786192,0.0108758110324534
6,"All_violence","tmean","northwest",5,0.0146988038864787,-0.0249814473893096,0.0543790551622669
6,"All_violence","tmean","northwest",10,0.0293976077729574,-0.0499628947786192,0.108758110324534
6,"assault","tmean","northwest",0,0,0,0
6,"assault","tmean","northwest",1,0.003063295847095,-0.00472604845827077,0.0108526401524608
6,"assault","tmean","northwest",5,0.015316479235475,-0.0236302422913537,0.0542632007623037
6,"assault","tmean","northwest",10,0.03063295847095,-0.0472604845827076,0.108526401524608
6,"suicide","tmean","northwest",0,0,0,0
6,"suicide","tmean","northwest",1,-0.0556901413102464,-0.106263039873512,-0.00511724274698026
6,"suicide","tmean","northwest",5,-0.278450706551232,-0.531315199367562,-0.0255862137349015
6,"suicide","tmean","northwest",10,-0.556901413102463,-1.06263039873512,-0.0511724274698037
6,"All_violence","tmean","ohio_valley",0,0,0,0
6,"All_violence","tmean","ohio_valley",1,0.00585767815475759,0.0038057132949368,0.00790964301457837
6,"All_violence","tmean","ohio_valley",5,0.0292883907737879,0.019028566474684,0.0395482150728918
6,"All_violence","tmean","ohio_valley",10,0.0585767815475758,0.038057132949368,0.0790964301457836
6,"assault","tmean","ohio_valley",0,0,0,0
6,"assault","tmean","ohio_valley",1,0.00554908013508996,0.00350111905018354,0.00759704121999638
6,"assault","tmean","ohio_valley",5,0.0277454006754497,0.0175055952509176,0.0379852060999819
6,"assault","tmean","ohio_valley",10,0.0554908013508996,0.0350111905018354,0.0759704121999638
6,"suicide","tmean","ohio_valley",0,0,0,0
6,"suicide","tmean","ohio_valley",1,0.00461809763909297,-0.00607000938664958,0.0153062046648355
6,"suicide","tmean","ohio_valley",5,0.0230904881954648,-0.0303500469332479,0.0765310233241775
6,"suicide","tmean","ohio_valley",10,0.0461809763909297,-0.0607000938664958,0.153062046648355
6,"All_violence","tmean","south",0,0,0,0
6,"All_violence","tmean","south",1,0.00441703502524625,0.00137878220824115,0.00745528784225135
6,"All_violence","tmean","south",5,0.0220851751262312,0.00689391104120575,0.0372764392112567
6,"All_violence","tmean","south",10,0.0441703502524625,0.0137878220824115,0.0745528784225134
6,"assault","tmean","south",0,0,0,0
6,"assault","tmean","south",1,0.00447574257321208,0.00145846313565868,0.00749302201076547
6,"assault","tmean","south",5,0.0223787128660604,0.00729231567829341,0.0374651100538273
6,"assault","tmean","south",10,0.0447574257321208,0.0145846313565868,0.0749302201076547
6,"suicide","tmean","south",0,0,0,0
6,"suicide","tmean","south",1,-0.00658397295653404,-0.0209729708192504,0.00780502490618232
6,"suicide","tmean","south",5,-0.0329198647826702,-0.104864854096252,0.0390251245309117
6,"suicide","tmean","south",10,-0.0658397295653404,-0.209729708192504,0.0780502490618233
6,"All_violence","tmean","southeast",0,0,0,0
6,"All_violence","tmean","southeast",1,0.00470460193160004,0.00248781413531218,0.0069213897278879
6,"All_violence","tmean","southeast",5,0.0235230096580002,0.0124390706765609,0.0346069486394394
6,"All_violence","tmean","southeast",10,0.0470460193160004,0.0248781413531218,0.069213897278879
6,"assault","tmean","southeast",0,0,0,0
6,"assault","tmean","southeast",1,0.0042231957694336,0.00194528739878569,0.00650110414008151
6,"assault","tmean","southeast",5,0.0211159788471679,0.00972643699392842,0.0325055207004075
6,"assault","tmean","southeast",10,0.042231957694336,0.0194528739878569,0.065011041400815
6,"suicide","tmean","southeast",0,0,0,0
